               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.023187,            0.014174,                   0,             0.99673,             0.95925,             0.99253,             0.76338,            0.021534,            0.014248,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.023798,            0.013999,                   0,             0.98113,             0.97795,             0.99285,             0.77618,            0.020536,            0.013996,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.022252,            0.014142,                   0,             0.99045,             0.97484,             0.99201,             0.78295,            0.020254,            0.013963,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.021926,            0.013734,                   0,             0.97799,             0.97806,             0.99255,             0.79134,            0.020044,            0.013938,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.022744,            0.013242,                   0,             0.99035,             0.96547,               0.991,             0.78514,            0.020583,            0.014566,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.023374,            0.013853,                   0,             0.99025,             0.97179,             0.99321,             0.79053,            0.019894,            0.015156,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.021697,            0.013817,                   0,             0.99036,             0.97179,             0.99372,             0.79234,            0.020127,            0.015041,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.021285,            0.013426,                   0,             0.99044,             0.97492,             0.99327,             0.79639,            0.020261,            0.013874,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.021154,            0.012963,                   0,             0.98413,             0.97173,             0.99241,             0.77528,            0.020831,            0.014298,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.021961,             0.01336,                   0,             0.97801,             0.97806,             0.99231,             0.80136,            0.019089,            0.013771,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.022503,            0.014068,                   0,             0.99359,             0.97172,             0.99226,             0.79484,            0.019213,            0.012592,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.02091,            0.013201,                   0,             0.98428,             0.98118,             0.99325,             0.79295,            0.019079,            0.012642,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.021282,            0.013485,                   0,             0.99043,             0.97492,             0.99394,             0.78937,            0.019401,            0.012517,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,             0.02149,            0.013308,                   0,             0.98734,             0.97803,             0.99245,             0.79419,            0.019084,            0.012791,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.021258,            0.013023,                   0,             0.98409,             0.97492,             0.99281,             0.80339,            0.018968,            0.013145,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.021618,            0.013033,                   0,             0.98099,             0.97179,             0.99258,             0.78832,            0.019759,            0.013979,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.021236,            0.013883,                   0,             0.97806,             0.98119,             0.99299,             0.79639,            0.018988,            0.012683,                   0,           0.0088124,           0.0088124,           0.0088124
